# title of the track
left,right
HATO002First line of the lyrics,HATO002第一行歌词
HATO002Second line of the lyrics,HATO002第二行歌词
HATO002Third line of the lyrics,HATO002第三行歌词
HATO002Forth line of the lyrics,HATO002第四行歌词
,
HATO002First line of the lyrics,HATO002第一行歌词
HATO002Second line of the lyrics,HATO002第二行歌词
HATO002Third line of the lyrics,HATO002第三行歌词
HATO002Forth line of the lyrics,HATO002第四行歌词
,
HATO002First line of the lyrics,HATO002第一行歌词
HATO002Second line of the lyrics,HATO002第二行歌词
HATO002Third line of the lyrics,HATO002第三行歌词
HATO002Forth line of the lyrics,HATO002第四行歌词
,
HATO002First line of the lyrics,HATO002第一行歌词
HATO002Second line of the lyrics,HATO002第二行歌词
HATO002Third line of the lyrics,HATO002第三行歌词
HATO002Forth line of the lyrics,HATO002第四行歌词
