# title of the track
left,right
12First line of the lyrics,12第一行歌词
12Second line of the lyrics,12第二行歌词
12Third line of the lyrics,12第三行歌词
12Forth line of the lyrics,12第四行歌词
,
12First line of the lyrics,12第一行歌词
12Second line of the lyrics,12第二行歌词
12Third line of the lyrics,12第三行歌词
12Forth line of the lyrics,12第四行歌词
,
12First line of the lyrics,12第一行歌词
12Second line of the lyrics,12第二行歌词
12Third line of the lyrics,12第三行歌词
12Forth line of the lyrics,12第四行歌词
,
12First line of the lyrics,12第一行歌词
12Second line of the lyrics,12第二行歌词
12Third line of the lyrics,12第三行歌12词
12Forth line of the lyrics,12第四行歌词
